frame,bowling_arm_elbow_angle,bowling_arm_shoulder_angle,bowling_arm_wrist_x,bowling_arm_wrist_y,bowling_arm_wrist_z
20,118.21979666612238,26.688206644655608,0.17705871164798737,-0.22559043765068054,0.15148204565048218
21,119.19481339518708,26.9875047565374,0.17608670890331268,-0.2135351002216339,0.1186387911438942
22,125.12196251996731,22.255716245869806,0.1760154664516449,-0.19117537140846252,0.08077608793973923
23,129.40153511803408,21.022861993483094,0.1898946613073349,-0.17949852347373962,0.07749085128307343
24,133.24948273722543,20.593319319129645,0.197432741522789,-0.15887106955051422,0.0833854079246521
25,135.67801191882603,18.360657576318495,0.19528163969516754,-0.1558130830526352,0.053787920624017715
26,134.68498560516684,19.25616714513168,0.19649803638458252,-0.16238655149936676,0.06724424660205841
27,137.43849358122222,19.756342193297453,0.19472861289978027,-0.15423549711704254,0.07422929257154465
28,134.42138976814863,20.064981975800308,0.20215561985969543,-0.156453475356102,0.07443329691886902
29,135.452856042032,19.92986301752473,0.2020200937986374,-0.1501503884792328,0.0721244215965271
30,136.66895661890388,19.213508205763976,0.21052506566047668,-0.12862084805965424,0.04946715012192726
31,136.88920961259058,17.304739724529377,0.20547816157341003,-0.11197075247764587,0.053243447095155716
32,138.8781934106028,16.57336389187578,0.20343749225139618,-0.09232284128665924,0.029226714745163918
33,133.6906251059866,17.392398710061524,0.20341898500919342,-0.10578898340463638,0.02900972217321396
34,128.87086398063295,15.948991809039507,0.1916499137878418,-0.10510934144258499,0.02107689343392849
35,130.9830428026208,15.87719200219205,0.17307597398757935,-0.11011768132448196,0.005786918569356203
36,132.7737627301044,15.933015560638259,0.16909292340278625,-0.11111191660165787,-0.0220747459679842
37,138.6856246609091,15.46428668345688,0.16919627785682678,-0.10372009873390198,-0.038527216762304306
38,144.6719533545676,13.33702068425847,0.14519676566123962,-0.0937180146574974,-0.06015242636203766
39,156.6958639661254,15.11485922986008,0.13623453676700592,-0.0811532586812973,-0.13141974806785583
40,155.9866541211224,15.807881645360853,0.14237359166145325,-0.07149941474199295,-0.1219436451792717
41,153.41657857835293,16.089275125879816,0.1450423151254654,-0.03337407112121582,-0.09488926827907562
42,145.7506038977235,15.454951508330586,0.1521703600883484,-0.031429629772901535,-0.01716785319149494
43,145.25930154701362,15.600528990926193,0.15516099333763123,-0.040030110627412796,-0.01999811828136444
44,146.31240835480807,15.1318858495331,0.16060133278369904,-0.04578879103064537,-0.018432186916470528
45,147.44991215824933,16.20063790092577,0.16363877058029175,-0.04534456133842468,-0.024478729814291
46,152.2536074427432,18.117658756954697,0.1672201007604599,-0.03739956021308899,-0.057824909687042236
47,155.80008426074332,18.429240773148265,0.16688306629657745,-0.022723864763975143,-0.07107187062501907
48,150.69980794461148,18.01365538792386,0.16580888628959656,-0.023813804611563683,-0.04821665957570076
49,152.28026685686194,16.932882119947866,0.15674297511577606,-0.02739693596959114,-0.04995308443903923
50,153.56344136250385,16.585758164848098,0.15174198150634766,-0.0323311947286129,-0.05253009870648384
51,153.00693804745308,18.48676783483839,0.14715217053890228,-0.04853850230574608,-0.06817984580993652
52,151.6666843134405,18.68823948219238,0.13807573914527893,-0.050105392932891846,-0.06610891222953796
53,150.75717940357413,18.019857316185167,0.1288398653268814,-0.05082421377301216,-0.040656477212905884
54,147.82917994790122,18.770170833552847,0.12753072381019592,-0.05082916095852852,0.010996393859386444
55,144.69139097916496,19.719395293806755,0.1277981549501419,-0.057179223746061325,0.02655334770679474
56,144.47679683167354,18.72140320549862,0.12644286453723907,-0.05538947507739067,0.022864283993840218
57,142.44566230810645,18.72037743058506,0.12717187404632568,-0.057982947677373886,0.03081364929676056
58,143.05332259934235,19.109822992962865,0.12382945418357849,-0.051230743527412415,0.030879754573106766
59,142.06066657696388,19.49171225919306,0.12360788881778717,-0.05080510675907135,0.03322405368089676
60,140.86435853538498,20.221695316136863,0.12343557178974152,-0.053387366235256195,0.0041889166459441185
61,139.00023010174587,18.505732684483117,0.09679771214723587,-0.05338243767619133,0.0054605682380497456
