frame,right_elbow_angle,left_elbow_angle
20,118.21979666612238,117.56602679711729
21,119.19481339518708,120.54482331440659
22,125.12196251996731,127.96264322497103
23,129.40153511803408,130.89163764937624
24,133.24948273722543,129.08249651749114
25,135.67801191882603,129.4829347868751
26,134.68498560516684,115.12310159777013
27,137.43849358122222,113.10455437848441
28,134.42138976814863,115.38876081649964
29,135.452856042032,119.64524289734348
30,136.66895661890388,117.28117841046499
31,136.88920961259058,114.1037474536915
32,138.8781934106028,112.8169759367808
33,133.6906251059866,120.09644942629039
34,128.87086398063295,116.82639137707233
35,130.9830428026208,132.2473475161268
36,132.7737627301044,135.04982004554
37,138.6856246609091,131.39620464443328
38,144.6719533545676,126.71550740032013
39,156.6958639661254,127.91282207319763
40,155.9866541211224,121.68919967390664
41,153.41657857835293,117.13114269265341
42,145.7506038977235,119.582224894529
43,145.25930154701362,119.70685784109521
44,146.31240835480807,115.01497016416408
45,147.44991215824933,109.75441682250282
46,152.2536074427432,110.7020075352073
47,155.80008426074332,108.89866054219146
48,150.69980794461148,108.67658263618664
49,152.28026685686194,108.64754705853326
50,153.56344136250385,106.70198959637102
51,153.00693804745308,100.1279531671707
52,151.6666843134405,100.46268373519798
53,150.75717940357413,100.54907393757672
54,147.82917994790122,100.88773812429329
55,144.69139097916496,104.27015165649796
56,144.47679683167354,108.09008148863207
57,142.44566230810645,107.61851374648582
58,143.05332259934235,98.53703438230589
59,142.06066657696388,101.92180899771796
60,140.86435853538498,98.61621437053684
61,139.00023010174587,105.42919410777094
62,137.03693734869438,101.60778005706958
63,134.5043566950282,97.3216981581058
64,130.31369296209778,90.73960280075254
65,112.49317770674531,105.0911527997418
66,92.36533830227437,108.2749359801846
67,111.03861999412278,97.9572744180191
68,130.32390167696133,86.5143573456149
69,128.25486993358598,85.614861036982
70,117.01977970658133,90.00465433342202
71,108.30997849659059,97.13773393900121
72,109.43511217493054,100.49418611934975
73,129.72213452103222,101.4226374573139
74,118.95385277200151,98.58479439921163
75,112.60508390737992,96.00914301704502
76,93.55286830554792,109.91563204582263
77,93.35496741190241,113.3457489736154
78,99.92846795883003,116.20139042861354
79,111.28174551838714,105.37245925218693
80,116.51292492908549,97.49431542968297
81,121.01775867636302,95.15887972212512
82,125.35807086641309,99.75170297739973
83,126.72717706934053,98.92083072045749
84,123.43387656552065,95.82311084558714
85,121.75468395861947,97.9301059204399
86,120.59173824955369,96.90273060821292
87,118.80121382463923,95.66074608929559
88,119.5187812152284,92.81928455329428
89,117.95947890580331,88.96258313591382
90,113.50196534140309,84.66307656389783
91,113.13386357141857,83.01886141145381
92,118.10345970196701,84.4170559934543
93,125.41340809353896,83.74520288216624
94,128.59225040888956,82.7274103549952
95,128.1014492303371,81.5159328083203
96,132.8417860622684,82.96284273224789
97,132.82811080767576,84.05014290102726
98,139.52369211474382,88.8077569144572
99,140.2343716791525,97.1365362304597
100,137.7759901615116,102.4569891143491
101,136.04363651429622,106.48065986566003
102,133.39105611872446,111.59205056882858
103,128.38516114549256,115.9463821417042
104,127.61577404437278,122.86927984986308
105,130.17061653067967,123.09007024740967
106,133.02876720409313,122.60029311787405
107,133.57193837745262,125.81653557367738
108,133.8398174822027,123.74803745910165
109,132.73925611664592,126.69809876470343
110,128.6077612553813,125.13745872179803
111,125.45811292604266,126.43869889719902
112,124.05420122512426,113.49418670595054
113,127.11572982787405,119.72441858581921
114,126.0067071415336,119.03884395377513
115,117.50167226509106,110.80397434552596
116,114.60149035887581,118.23155676406024
117,112.79419026034199,113.4536523365471
118,113.49629172552541,111.77195674012916
119,76.83992634454111,126.68665964951329
120,82.19226375328445,135.78947064382666
121,92.82445612669713,145.15940497622682
122,93.12747734422526,161.2466808975755
123,92.52781776013667,153.86913656480667
124,91.4866531454498,130.25303568703495
125,95.55017714749731,154.84253813756192
126,104.47900847821157,159.93682214704907
