frame,right_wrist_x,right_wrist_y,right_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,nose_y,right_elbow_angle,left_knee_angle,right_arm_vertical_angle,right_arm_horizontal_angle_from_plane
0,0.15021905303001404,0.17886409163475037,0.09249221533536911,0.1588587760925293,0.2437635362148285,-0.030652549117803574,0.18716365098953247,116.79553419692743,165.87362350788567,39.57516556088868,50.42483443911132
1,0.15965037047863007,0.16501891613006592,-0.05544523522257805,0.1586192101240158,0.24479994177818298,-0.03297692537307739,0.18549038469791412,150.4030018537658,166.2961364488673,4.769133831425023,85.23086616857495
2,0.16303551197052002,0.15774311125278473,-0.054656982421875,0.15880097448825836,0.24573220312595367,-0.03234869986772537,0.1836513727903366,157.79452594507137,166.5670653631629,3.0389630319921537,86.96103696800787
3,0.16185975074768066,0.15986144542694092,-0.01733955182135105,0.15891380608081818,0.24542531371116638,-0.025252986699342728,0.18002299964427948,153.31632607056974,166.75961665760647,6.722208471518968,83.27779152848095
4,0.16196118295192719,0.161786288022995,-0.03140415623784065,0.16015882790088654,0.24518851935863495,-0.02796141244471073,0.1797720342874527,153.2149283988637,167.26450042805794,5.983580489687284,84.01641951031274
5,0.16218112409114838,0.16665643453598022,-0.10725196450948715,0.16205227375030518,0.24517205357551575,-0.040690772235393524,0.1801159381866455,148.43829149063615,168.39107417553558,18.410727453693568,71.58927254630645
6,0.1686650514602661,0.16994276642799377,-0.1281425654888153,0.1635139137506485,0.24501514434814453,-0.04072762653231621,0.18013182282447815,150.50629619481015,166.86417783772956,28.66146145910642,61.33853854089357
7,0.16933783888816833,0.1709631383419037,-0.137464240193367,0.16581447422504425,0.24500322341918945,-0.03925859183073044,0.18003106117248535,147.7595301880468,167.7458085883682,31.600880337767933,58.399119662232074
8,0.17143014073371887,0.17140261828899384,-0.1287839114665985,0.1687922477722168,0.2452387511730194,-0.040369484573602676,0.18015433847904205,149.71409317572656,167.21385175845555,28.396182259518753,61.60381774048126
9,0.17142975330352783,0.17194271087646484,-0.08817252516746521,0.1694248467683792,0.24481648206710815,-0.04580941051244736,0.1809300184249878,148.7678162946407,167.67250415947493,16.200169559368135,73.79983044063187
10,0.17591790854930878,0.17201079428195953,-0.16347359120845795,0.17102688550949097,0.24502061307430267,-0.05091284215450287,0.1817852258682251,153.4846507723601,167.4181071535559,34.15184024473939,55.8481597552606
11,0.1755089908838272,0.17201219499111176,-0.16798001527786255,0.17294561862945557,0.24573852121829987,-0.060125868767499924,0.18393388390541077,150.8803733930116,167.7837533077929,34.2050938680417,55.79490613195831
12,0.17753227055072784,0.17166347801685333,-0.1391475796699524,0.17514823377132416,0.24592337012290955,-0.06451068073511124,0.1846574991941452,152.8316041067641,167.42884628597793,26.624721370919758,63.375278629080235
13,0.1800234317779541,0.17122715711593628,-0.13340036571025848,0.1775716245174408,0.24589687585830688,-0.060673754662275314,0.18496552109718323,156.81150942150748,166.9717133961167,25.21383569882758,64.7861643011724
14,0.1853947639465332,0.17087261378765106,-0.1212029978632927,0.17816096544265747,0.24628256261348724,-0.06002657115459442,0.1874815672636032,164.0488427794752,165.18864663312536,23.769498326878022,66.23050167312196
15,0.19055362045764923,0.16966845095157623,-0.16015291213989258,0.1802489459514618,0.24627231061458588,-0.0683099702000618,0.18778611719608307,170.3765205149905,165.37314075604445,29.986659918354036,60.013340081645964
16,0.19361743330955505,0.16963006556034088,-0.1658252626657486,0.18148234486579895,0.24587509036064148,-0.06925050914287567,0.18765142560005188,172.34759617169664,165.07389369849648,32.51111072946094,57.48888927053907
17,0.19647502899169922,0.16952545940876007,-0.17213262617588043,0.18469487130641937,0.24586297571659088,-0.07267496734857559,0.1873963326215744,170.83369942800505,164.8182371023,34.8281566665452,55.1718433334548
18,0.1971331536769867,0.1694355607032776,-0.18717031180858612,0.18602274358272552,0.2457408756017685,-0.07257462292909622,0.18581806123256683,170.6132051909069,164.41804217932682,38.11086962577579,51.8891303742242
19,0.19650043547153473,0.16943266987800598,-0.18973039090633392,0.18714693188667297,0.24560846388339996,-0.07160823047161102,0.18567226827144623,166.7908020835377,164.33847686667707,38.698989568629884,51.30101043137012
20,0.20074759423732758,0.16924823820590973,-0.18564997613430023,0.18952496349811554,0.24561931192874908,-0.07467520982027054,0.1857052892446518,170.2064336409882,163.37301159269177,38.166448272966164,51.83355172703382
21,0.20094220340251923,0.16949434578418732,-0.14724721014499664,0.1915460228919983,0.24517518281936646,-0.07388347387313843,0.18539096415042877,166.73185122288112,162.64066757561332,32.0459656394311,57.95403436056889
